11.35,1900.405879
9.17,1913.603014
13.41,1915.195435
11.56,1915.356735
12.14,1924.439965
13.82,1930.544794
8.65,1933.61937
15.9,1935.410706
15.22,1938.263209
16.06,1938.323342
15.84,1938.421419
16.13,1939.159133
16.47,1939.298629
16.38,1939.449098
15.67,1940.346855
15.98,1940.412223
16.41,1940.42596
15.63,1940.486038
15.39,1941.161742
15.03,1941.164554
15.85,1941.306614
13.61,1941.386725
15.87,1941.454532
11.97,1944.223984
15.12,1945.588312
14.67,1945.604751
13.73,1945.670493
15,1947.380324
15.47,1947.434891
15,1947.454532
15.32,1947.462384
15.65,1947.602015
14.16,1947.626649
14.45,1948.133879
15.21,1948.251627
15.62,1948.327585
15.19,1948.366119
14.13,1948.417447
13.42,1948.42936
13.38,1948.439621
13.15,1948.444771
13.22,1948.482878
12.51,1948.493956
12.09,1948.507695
12.27,1948.575925
12.47,1948.578585
12.21,1948.583968
12.05,1948.592236
11.58,1948.646791
12.32,1948.679592
12.5,1948.682326
15.44,1949.336961
14.76,1949.473565
13.97,1949.544715
14.46,1949.569286
14.97,1950.385807
12.1,1950.42792
15.11,1951.318457
15.45,1951.585807
12.01,1983.507951
